IIT Bhubaneswar,Civil Engineering (4 Years Bachelor ofTechnology),EWS,Gender-Neutral,2062,2267
IIT Bhubaneswar,Civil Engineering (4 Years Bachelor ofTechnology),EWS,Female-only,3638,4265
IIT Bhubaneswar,Civil Engineering (4 Years Bachelor ofTechnology),OBC-NCL,Gender-Neutral,4115,5231
IIT Bhubaneswar,Civil Engineering (4 Years Bachelor ofTechnology),OBC-NCL,Female-only,7450,8720
IIT Bhubaneswar,Civil Engineering (4 Years Bachelor ofTechnology),OPEN,Gender-Neutral,9106,14782
IIT Bhubaneswar,Civil Engineering (4 Years Bachelor ofTechnology),OPEN,Female-only,18286,23024
IIT Bhubaneswar,Civil Engineering (4 Years Bachelor ofTechnology),SC,Gender-Neutral,2381,2587
IIT Bhubaneswar,Civil Engineering (4 Years Bachelor ofTechnology),SC,Female-only,4031,4293
IIT Bhubaneswar,Civil Engineering (4 Years Bachelor ofTechnology),ST,Gender-Neutral,753,977
IIT Bhubaneswar,Civil Engineering (4 Years Bachelor ofTechnology),ST,Female-only,1718,1750
IIT Bhubaneswar,Computer Science and Engineering (4Years Bachelor of Technology),EWS,Gender-Neutral,400,466
IIT Bhubaneswar,Computer Science and Engineering (4Years Bachelor of Technology),EWS,Female-only,1025,1025
IIT Bhubaneswar,Computer Science and Engineering (4Years Bachelor of Technology),OBC-NCL,Gender-Neutral,774,1237
IIT Bhubaneswar,Computer Science and Engineering (4Years Bachelor of Technology),OBC-NCL,Female-only,2107,3291
IIT Bhubaneswar,Computer Science and Engineering (4Years Bachelor of Technology),OPEN,Gender-Neutral,2389,3685
IIT Bhubaneswar,Computer Science and Engineering (4Years Bachelor of Technology),OPEN,Female-only,4833,7557
IIT Bhubaneswar,Computer Science and Engineering (4Years Bachelor of Technology),SC,Gender-Neutral,382,596
IIT Bhubaneswar,Computer Science and Engineering (4Years Bachelor of Technology),SC,Female-only,1279,1313
IIT Bhubaneswar,Computer Science and Engineering (4Years Bachelor of Technology),ST,Gender-Neutral,241,356
IIT Bhubaneswar,Computer Science and Engineering (4Years Bachelor of Technology),ST,Female-only,546,649
IIT Bhubaneswar,Electrical Engineering (4 Years Bachelorof Technology),EWS,Gender-Neutral,1013,1261
IIT Bhubaneswar,Electrical Engineering (4 Years Bachelorof Technology),EWS,Female-only,2194,2249
IIT Bhubaneswar,Electrical Engineering (4 Years Bachelorof Technology),OBC-NCL,Gender-Neutral,2167,2876
IIT Bhubaneswar,Electrical Engineering (4 Years Bachelorof Technology),OBC-NCL,Female-only,5899,6611
IIT Bhubaneswar,Electrical Engineering (4 Years Bachelorof Technology),OPEN,Gender-Neutral,5381,7661
IIT Bhubaneswar,Electrical Engineering (4 Years Bachelorof Technology),OPEN,Female-only,12140,14183
IIT Bhubaneswar,Electrical Engineering (4 Years Bachelorof Technology),SC,Gender-Neutral,1105,1762
IIT Bhubaneswar,Electrical Engineering (4 Years Bachelorof Technology),SC,Female-only,2081,2081
IIT Bhubaneswar,Electrical Engineering (4 Years Bachelorof Technology),ST,Gender-Neutral,667,792
IIT Bhubaneswar,Electrical Engineering (4 Years Bachelorof Technology),ST,Female-only,1179,1179
IIT Bhubaneswar,Electronics and CommunicationEngineering (4 Years Bachelor ofTechnology),EWS,Gender-Neutral,601,738
IIT Bhubaneswar,Electronics and CommunicationEngineering (4 Years Bachelor ofTechnology),EWS,Female-only,1941,1941
IIT Bhubaneswar,Electronics and CommunicationEngineering (4 Years Bachelor ofTechnology),OBC-NCL,Gender-Neutral,1423,2026
IIT Bhubaneswar,Electronics and CommunicationEngineering (4 Years Bachelor ofTechnology),OBC-NCL,Female-only,3327,3729
IIT Bhubaneswar,Electronics and CommunicationEngineering (4 Years Bachelor ofTechnology),OPEN,Gender-Neutral,3944,5157
IIT Bhubaneswar,Electronics and CommunicationEngineering (4 Years Bachelor ofTechnology),OPEN,Female-only,8798,10904
IIT Bhubaneswar,Electronics and CommunicationEngineering (4 Years Bachelor ofTechnology),SC,Gender-Neutral,914,1239
IIT Bhubaneswar,Electronics and CommunicationEngineering (4 Years Bachelor ofTechnology),SC,Female-only,1773,1915
IIT Bhubaneswar,Electronics and CommunicationEngineering (4 Years Bachelor ofTechnology),ST,Gender-Neutral,384,538
IIT Bhubaneswar,Electronics and CommunicationEngineering (4 Years Bachelor ofTechnology),ST,Female-only,910,910
IIT Bhubaneswar,Engineering Physics (4 Years Bachelor ofTechnology),EWS,Gender-Neutral,1846,1978
IIT Bhubaneswar,Engineering Physics (4 Years Bachelor ofTechnology),OBC-NCL,Gender-Neutral,3136,4378
IIT Bhubaneswar,Engineering Physics (4 Years Bachelor ofTechnology),OBC-NCL,Female-only,9267,9267
IIT Bhubaneswar,Engineering Physics (4 Years Bachelor ofTechnology),OPEN,Gender-Neutral,10756,11307
IIT Bhubaneswar,Engineering Physics (4 Years Bachelor ofTechnology),OPEN,Female-only,18825,18825
IIT Bhubaneswar,Engineering Physics (4 Years Bachelor ofTechnology),SC,Gender-Neutral,2045,2226
IIT Bhubaneswar,Engineering Physics (4 Years Bachelor ofTechnology),SC,Female-only,4555,4555
IIT Bhubaneswar,Engineering Physics (4 Years Bachelor ofTechnology),ST,Gender-Neutral,1333,1333
IIT Bhubaneswar,Mechanical Engineering (4 YearsBachelor of Technology),EWS,Gender-Neutral,1400,1639
IIT Bhubaneswar,Mechanical Engineering (4 YearsBachelor of Technology),EWS,Female-only,3122,3236
IIT Bhubaneswar,Mechanical Engineering (4 YearsBachelor of Technology),OBC-NCL,Gender-Neutral,3078,3885
IIT Bhubaneswar,Mechanical Engineering (4 YearsBachelor of Technology),OBC-NCL,Female-only,7053,7801
IIT Bhubaneswar,Mechanical Engineering (4 YearsBachelor of Technology),OPEN,Gender-Neutral,7881,10233
IIT Bhubaneswar,Mechanical Engineering (4 YearsBachelor of Technology),OPEN,Female-only,16104,19505
IIT Bhubaneswar,Mechanical Engineering (4 YearsBachelor of Technology),SC,Gender-Neutral,1907,2293
IIT Bhubaneswar,Mechanical Engineering (4 YearsBachelor of Technology),SC,Female-only,2465,3941
IIT Bhubaneswar,Mechanical Engineering (4 YearsBachelor of Technology),ST,Gender-Neutral,918,1041
IIT Bhubaneswar,Mechanical Engineering (4 YearsBachelor of Technology),ST,Female-only,1735,1735
IIT Bhubaneswar,Metallurgical and Materials Engineering(4 Years Bachelor of Technology),EWS,Gender-Neutral,2301,2373
IIT Bhubaneswar,Metallurgical and Materials Engineering(4 Years Bachelor of Technology),EWS,Female-only,4185,4185
IIT Bhubaneswar,Metallurgical and Materials Engineering(4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,4730,5608
IIT Bhubaneswar,Metallurgical and Materials Engineering(4 Years Bachelor of Technology),OBC-NCL,Female-only,9228,9228
IIT Bhubaneswar,Metallurgical and Materials Engineering(4 Years Bachelor of Technology),OPEN,Gender-Neutral,11823,14898
IIT Bhubaneswar,Metallurgical and Materials Engineering(4 Years Bachelor of Technology),OPEN,Female-only,20901,21693
IIT Bhubaneswar,Metallurgical and Materials Engineering(4 Years Bachelor of Technology),SC,Gender-Neutral,2332,2774
IIT Bhubaneswar,Metallurgical and Materials Engineering(4 Years Bachelor of Technology),SC,Female-only,4396,4396
IIT Bhubaneswar,Metallurgical and Materials Engineering(4 Years Bachelor of Technology),ST,Gender-Neutral,1102,1223
IIT Bhubaneswar,Metallurgical and Materials Engineering(4 Years Bachelor of Technology),ST,Female-only,330,602
IIT Bombay,Aerospace Engineering (4 Years Bachelorof Technology),EWS,Gender-Neutral,327,618
IIT Bombay,Aerospace Engineering (4 Years Bachelorof Technology),EWS,Female-only,1050,1409
IIT Bombay,Aerospace Engineering (4 Years Bachelorof Technology),OBC-NCL,Gender-Neutral,447,1577
IIT Bombay,Aerospace Engineering (4 Years Bachelorof Technology),OBC-NCL,Female-only,1935,3516
IIT Bombay,Aerospace Engineering (4 Years Bachelorof Technology),OPEN,Gender-Neutral,817,2394
IIT Bombay,Aerospace Engineering (4 Years Bachelorof Technology),OPEN,Female-only,2494,6360
IIT Bombay,Aerospace Engineering (4 Years Bachelorof Technology),SC,Gender-Neutral,136,678
IIT Bombay,Aerospace Engineering (4 Years Bachelorof Technology),SC,Female-only,803,1493
